composer,url,title,date,from,originator,arranger,text author,duration,difficulty level,voicing,voicing notes,soloists,instruments,language,,,,sample performance,range notes,tessitura notes,vocal line notes,voice type notes,accompaniment,general notes,provided by
ABBIE BETINIS,http://www.abbiebetinis.com/,"In This Tyme Of Chrystmas (formerly ""Quid Petis O Fili"")",2006,,,,Collection Of Elizabethan Christmas Carols,"5'08""",,Multiple Chorus (SSS + SATBB),,,,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/in_this_tyme_of_chrystmas.html,http://www.abbiebetinis.com/works/in_this_tyme_of_chrystmas.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Journey Home (In English And Spanish),2007,,,,"Erik Halvorson, adapted by the composer","4'00""",,SATB,,,pno,English and Spanish,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/journey_home.html,http://www.abbiebetinis.com/works/journey_home.html,#ERROR!,,,,,,Soprano descant,
ABBIE BETINIS,http://www.abbiebetinis.com/,Long Time Trav'ling,2005,,,,Traditional American (19th Century Text),"4'00""",5,SATB divisi,,2 Tenor soloists - duet,,English,http://www.abbiebetinis.com/contact.html,https://sbmp.com/SR2.php?CatalogNumber=702,https://www.abbiebetinis.com/works/long_time_travling.html,https://youtu.be/pSC_XF0YeMk,,,,,,"""Shape-note style"" semi-chorus",
ABBIE BETINIS,http://www.abbiebetinis.com/,Love Is Love Is Love Is Love,2017,,,,Compiled by the composer,"Variable (2'00""-4'00"")",1,4-Part Round with Audience Mantra,,,opt. pno,"English, Latin",https://abbiebetinis.com/works/love_is_love_is_love_is_love.html,https://www.abbiebetinis.com/works/love_is_love_is_love_is_love.html,,https://abbiebetinis.com/works/love_is_love_is_love_is_love.html,,,,,,"This song was written for the Justice Choir Songbook. It is dedicated to the victims, and survivors, of hate crimes everywhere, and specifically for those at the Pulse nightclub in Orlando on June 12, 2016. Love is often the bravest thing we do. May love prevail. -Abbie",
ABBIE BETINIS,http://www.abbiebetinis.com/,Lumen,2012,,,,Latin aphorisms (Anonymous),"Variable (2'00""-4'00"")",3,"Unison Chant, with  3-Part Canon",,,,Latin,https://abbiebetinis.com/works/lumen.html,https://www.abbiebetinis.com/works/lumen.html,,https://abbiebetinis.com/works/lumen.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Mary And Gabriel,2006,,,,Rupert Brooke,"7'20""",,SATB divisi,,"Soprano, Alto, Tenor, Bass soloists",perc,English,http://www.abbiebetinis.com/works_choral.html,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/mary_and_gabriel.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"Morning Round / Awake, Awake, Ye Sleepers",2013,,,,Abbie Betinis / Traditional,"Variable (2'00""-3'00"")",1,Morning: 4-Part Canon / Awake: 3-Part Canon,,,,English,https://abbiebetinis.com/works/morning_round.html,https://www.abbiebetinis.com/works/morning_round.html,https://soundcloud.com/abbie-betinis/morning-round-with-awake-awake-ye-sleepers,https://abbiebetinis.com/works/morning_round.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Quis est Deus (Who is God?) (No. 2),2005,,,,,"5'30""",,Offstage SATB chorus,,Solo countertenor,,,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Resilience,2017,,,,Abbie Betinis,"Variable (2'00""-4'00"")",1,3-Part Street Call,,,,English,https://abbiebetinis.com/works/resilience.html,https://abbiebetinis.com/works/resilience.html,,https://abbiebetinis.com/works/resilience.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,The Babe Of Bethlehem,2004,,William Walker,,William Walker,"6'00""",,SATB divisi,,,,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/babe_of_bethlehem.html,http://www.abbiebetinis.com/works/babe_of_bethlehem.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Touch Hands: a Table Grace,2017,,,,W.H.H. Murray,"Variable (2'00""-4'00"")",2,"Round, Partner Song or Double Canon",,,,English,https://abbiebetinis.com/works/touch_hands.html,https://abbiebetinis.com/works/touch_hands.html,,https://www.youtube.com/watch?v=SzRJwgpypt0,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Yhinx: An Ancient Greek Love Charm,2002,,,,"Theocritus (3rd cent. BC), Greek stone (3rd cent. AD). Trans. by J.M. Edmonds (1912)","4'00""",,TTBB divisi,,TB soloists,,"Greek, English",http://abbiebetinis.com/works/yhinx.html,https://www.abbiebetinis.com/works/yhinx.html,https://www.abbiebetinis.com/works/yhinx.html,https://www.youtube.com/watch?v=beAivnxfjWs&ab_channel=AbbieBetinis%2Ccomposer,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Ave Maria,,,,,,,,,,,,Latin,https://www.cpdl.org/wiki/index.php/Ave_Maria_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Ave maris stella,,,,,,,,,,,,Latin,https://www.cpdl.org/wiki/index.php/Ave_maris_stella_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Himno a Nuestra Senora de la Providencia,,,,,,,,,,,,Spanish,https://www.cpdl.org/wiki/index.php/Himno_a_Nuestra_Senora_de_la_Providencia_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Load a Maria,,,,,,,,,,,,Spanish,https://www.cpdl.org/wiki/index.php/Load_a_Maria_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Lux aeterna,,,,,,,,,,soprano,,Latin,https://www.cpdl.org/wiki/index.php/Lux_aeterna_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Misa Breve,,,,,,,,,,,,Spanish,https://www.cpdl.org/wiki/index.php/Misa_Breve_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,O salutaris hostia,,,,,,,,,,,,Latin,https://www.cpdl.org/wiki/index.php/O_salutaris_hostia_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,Sin par es tu gloria,,,,,,,,,,,,Spanish,https://www.cpdl.org/wiki/index.php/Sin_par_es_tu_gloria_(Abel_Di_Marco),,,,,,,,,,
ABEL DI MARCO,https://www.cpdl.org/wiki/index.php/Abel_Di_Marco,"Ven, Creador",,,,,,,,,,,,Spanish,"https://www.cpdl.org/wiki/index.php/Ven,_Creador_(Abel_Di_Marco)",,,,,,,,,,
